"Полицейска статистика 2024","","","Разкрити престъпления против личността и собствеността","","","","","","","","","",""
"","","","на гражданите по съдебно минало и трудова ангажираност","","","","","","","","","",""
"","","Общ брой","","","От тях извършени от:","","","","","","Установени извършители","",""
"","Видове престъпления","разкрити","Лица с","Трудова ангажираност","","","","Общ","Лица с","Трудова ангажираност","","",""
"№","","престъп-","минали","Безра-","Не учат и","Учащи","Други","брой","минали","Безра-","Не учат и","Учащи","Други"
"","","ления","осъждания","ботни","не работят","","","","осъждания","ботни","не работят","",""
"","Общ брой","46372","15431","10287","113","1945","34028","39553","11456","8062","93","1829","29569"
"1","Престъпления против личността (чл.115 - 159 НК)","4691","1734","1018","8","207","3458","4490","1479","959","7","242","3282"
"1.1.","Убийство (чл.115-127 НК)","114","39","30","0","3","81","124","40","31","0","3","90"
"","· Умишлено убийство (чл.115-116,118 НК) - довършено","69","23","14","0","0","55","74","24","15","0","0","59"
"","- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)","0","0","0","0","0","0","0","0","0","0","0","0"
"","· Умишлено убийство (чл.115-116,118 НК) - опит","27","9","9","0","1","17","31","9","9","0","1","21"
"","· Убийство от родител на новородено дете (чл.120-121 НК)","1","0","1","0","0","0","1","0","1","0","0","0"
"","· Подпомагане, склоняване към самоубийство (чл.127 НК)","2","1","1","0","0","1","2","1","1","0","0","1"
"1.2.","Разврат (чл.149-159 НК)","384","110","81","3","17","283","356","98","79","2","20","255"
"","· Блудство (чл.149 - 150 НК)","175","49","37","1","6","131","174","51","41","1","6","126"
"","· Изнасилване (чл.152 НК) - довършено","56","22","16","0","2","38","54","21","16","0","3","35"
"","· Изнасилване (чл.152 НК) - опит","8","6","4","0","0","4","8","6","4","0","0","4"
"","· Сводничество и отвличане за разврат (чл.155 - 156 НК)","32","8","1","2","1","28","29","2","2","1","2","24"
"","· Престъпен/хомосексуализъм (чл.157 НК)","15","5","2","0","0","13","16","5","2","0","0","14"
"1.3.","Телесна повреда (чл.128 - 135 НК)","2865","1011","567","3","161","2134","3048","963","605","3","203","2237"
"","· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)","19","7","2","0","3","14","30","9","2","0","7","21"
"1.4.","Противозаконно лишаване от свобода (чл.142,142а НК)","53","24","17","0","1","35","73","28","25","0","1","47"
"1.5.","Задържане на заложник (чл.143а НК)","0","0","0","0","0","0","0","0","0","0","0","0"
"1.6.","Трафик на хора (чл.159а - 159г НК)","26","12","10","0","0","16","21","5","5","0","0","16"
"1.7.","Други против личността","1249","538","313","2","25","909","1125","448","279","2","22","822"
"2","Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)","16451","5183","4068","50","988","11346","13826","3605","3096","46","989","9695"
"2.1.","Грабеж (чл.198 - 200 НК)","634","246","165","5","50","414","742","249","202","7","58","475"
"","· въоръжен грабеж","25","9","6","0","3","16","31","9","8","0","4","19"
"","- чрез огнестрелно оръжие","7","2","2","0","1","4","9","2","3","0","1","5"
"2.2.","Кражба (чл.194 - 197 НК)","13139","4237","3377","37","737","8988","10825","2905","2579","34","758","7454"
"","· джебчийска","313","111","119","0","22","172","305","89","101","0","22","182"
"","· взломна","904","519","369","2","72","461","1009","469","432","3","102","472"
"","· домова","1528","752","597","8","158","765","1476","632","555","10","184","727"
"","· от офиси","108","47","37","0","3","68","123","47","44","0","8","71"
"","· от магазини","5517","1101","862","8","213","4434","4622","776","644","6","225","3747"
"","· на части и вещи от МПС","418","167","139","0","20","259","374","141","139","0","33","202"
"","· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)","13","8","5","0","1","7","18","10","8","0","3","7"
"","· на селскостопанска продукция, домашни животни и птици","2456","615","484","4","119","1849","2275","520","443","4","197","1631"
"2.3.","Измама (чл.209 - 211, 213 НК)","380","105","105","1","7","268","365","97","98","1","7","259"
"2.4.","Изнудване (чл.213а-214 а НК)","62","20","10","1","4","47","78","21","13","1","3","61"
"2.5.","Други против собствеността","2236","575","411","6","190","1629","2363","555","398","5","230","1730"
"3","Общоопасни престъпления (чл.330-356 к НК)","19272","6767","3814","37","626","14795","17282","5758","3267","33","586","13396"
"3.1.","Палеж (чл.330-333 НК)","174","50","37","1","8","128","192","51","39","1","12","140"
"","· повреждане чрез взрив (чл.333 НК)","0","0","0","0","0","0","0","0","0","0","0","0"
"3.2.","Производство и използване на оръжие (чл.337-339б НК)","271","107","48","3","4","216","274","107","48","3","4","219"
"3.3.","Посегателства спрямо МПС","367","138","103","2","32","230","409","138","118","2","46","243"
"","· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)","249","83","68","1","25","155","276","81","74","1","38","163"
"","· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)","2","0","1","0","0","1","2","0","1","0","0","1"
"","· кражба на МПС (чл.195, ал.1, т.12 НК)","112","54","32","1","7","72","134","59","45","1","9","79"
"","· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)","4","1","2","0","0","2","6","2","4","0","0","2"
"3.4.","Други действия спрямо МПС","3162","876","558","3","111","2490","2972","783","496","3","109","2364"
"","· използване на чужди регистрационни номера на МПС  (чл.345 НК)","3124","864","549","3","110","2462","2939","773","488","3","107","2341"
"","· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК)","18","3","3","0","0","15","18","3","3","0","0","15"
"","· незаконно проникване в МПС (чл.346б НК)","20","9","6","0","1","13","21","9","7","0","2","12"
"3.5.","Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; и др.)","5698","2407","1505","13","289","3891","5172","2071","1332","13","270","3557"
"","· контрабанда (чл.242, ал.2 и ал.3 НК)","7","2","0","0","1","6","8","2","0","0","1","7"
"","· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)","5482","2326","1454","12","282","3734","5024","2016","1295","12","262","3455"
"","· склоняване/подпомагане към употреба (чл.354б НК)","7","1","1","0","1","5","7","1","1","0","1","5"
"","· засяване/отглеждане на растения (чл.354в)","205","78","50","1","6","148","233","81","62","1","10","160"
"","· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )","0","0","0","0","0","0","0","0","0","0","0","0"
"","· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)","2","2","0","0","0","2","2","2","0","0","0","2"
"","· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)","0","0","0","0","0","0","0","0","0","0","0","0"
"3.6.","Престъпления по транспорта (чл.340-344 НК)","9568","3178","1558","15","181","7814","9131","2995","1461","12","171","7487"
"","· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)","226","36","19","1","6","200","230","37","21","1","6","202"
"","· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)","921","106","60","0","13","848","929","105","61","0","13","855"
"3.7.","· Управление на МПС след употреба на алкохол и наркотични вещества чл. 343б НК","7103","2559","1196","10","132","5765","6937","2491","1168","9","127","5633"
"","· след употреба на алкохол чл. 343б ал. 1 НК","3812","1381","593","4","50","3165","3798","1375","592","4","49","3153"
"","· повторно след употреба на алкохол чл. 343б ал. 2 НК","250","168","59","0","5","186","251","169","60","0","5","186"
"","·  след употреба на наркотични вещества чл. 343б ал. 3 НК","2833","889","471","5","77","2280","2795","871","464","5","77","2249"
"","· повторно след употреба на наркотични вещества чл. 343б ал. 4 НК","63","41","20","1","0","42","63","41","20","1","0","42"
"4","Други общоопасни","32","11","5","0","1","26","34","10","5","0","1","28"
"4.1.","Други криминални престъпления","5518","1618","1200","18","119","4181","5775","1546","1290","21","156","4308"
"4.2.","Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)","153","72","44","0","10","99","169","73","45","0","14","110"
"","Против брака, семейството и младежта (чл.176-179,181-193 НК)","1370","395","401","2","13","954","1419","387","451","2","13","953"
"","· незаконно осиновяване и продажба на дете (чл.182а-182б НК)","0","0","0","0","0","0","0","0","0","0","0","0"
"4.3.","· неплащане на издръжка (чл.183 НК)","795","270","207","1","3","584","745","252","185","1","3","556"
"","Против държавни и обществени организации (чл.269-300 НК)","2439","668","427","6","24","1982","2446","612","428","7","25","1986"
"","· използване на полицейски знаци/униформа - (чл.274а НК)","4","2","1","0","0","3","4","2","1","0","0","3"
"","· незаконно преминаване през граница  (чл.279 НК)","922","174","75","0","0","847","961","177","85","0","0","876"
"4.4.","· превеждане през граница (чл.280 -281 НК)","547","33","70","0","3","474","600","37","81","0","3","516"
"4.5.","Компютърни престъпления (чл.319а-319в  НК)","0","0","0","0","0","0","0","0","0","0","0","0"
"4.6.","Против реда и общественото спокойствие (чл.320-329 НК)","1548","482","325","10","72","1141","1793","509","384","12","106","1291"
"","· образуване и участие в престъпна група (чл.321, 321а НК)","33","4","3","0","0","30","119","13","17","0","0","102"
"","· хулиганство (чл.325 НК)","1341","430","287","9","64","981","1498","448","330","11","99","1058"
"4.7.","Престъпления, извършени в условията на домашно насилие","1647","766","424","4","37","1182","1390","620","337","4","31","1018"
"ЗАБЕЛЕЖКА: Данните в таблицата включват всички разкрити през периода престъпления, независимо от годината на регистрацията им.","","","","","","","","","","","","",""
"*В рамките на отчетния период лицата се броят по един път за регион, вид на престъплението и т.н., независимо от броя на извършените от тях престъпления и само един път в сумарния изход.","","","","","","","","","","","","",""
