"Полицейска статистика 2024","","","","","","Разкрити икономически престъпления","","","","","","",""
"","","","","","","по съдебно минало и трудова ангажираност","","","","","","",""
"","","Общ брой","","","От тях извършени от:","","","","","","Установени извършители*","",""
"","","разкрити","Лица с","Трудова ангажираност","","","","Общ","Лица с","Трудова ангажираност","","",""
"№","Области","престъп-","минали","Безра-","Не учат и","Учащи","Други","брой","минали","Безра-","Не учат и","Учащи","Други"
"","","ления","осъждания","ботни","не работят","","","","осъждания","ботни","не работят","",""
"","Общ брой","4850","1253","905","7","61","3877","4848","1188","912","9","82","3845"
"1","Град София","377","69","1","0","2","374","362","59","2","0","2","358"
"2","Благоевград","178","51","12","0","0","166","166","47","11","0","0","155"
"3","Бургас","166","49","6","0","1","159","168","47","7","0","2","159"
"4","Варна","174","21","37","0","1","136","170","18","37","0","1","132"
"5","Велико Търново","119","60","23","1","2","93","126","59","28","1","2","95"
"6","Видин","56","13","23","0","2","31","54","13","23","0","2","29"
"7","Враца","94","35","10","0","0","84","94","33","10","0","0","84"
"8","Габрово","52","19","2","0","1","49","54","19","2","0","1","51"
"9","Добрич","88","27","4","0","2","82","89","26","5","0","2","82"
"10","Кърджали","88","30","22","0","2","64","88","29","21","0","2","65"
"11","Кюстендил","69","14","24","0","0","45","68","13","26","0","0","42"
"12","Ловеч","95","31","11","0","1","83","92","30","10","0","2","80"
"13","Монтана","221","61","12","2","1","206","213","59","11","2","1","199"
"14","Пазарджик","238","54","23","0","3","212","233","47","24","0","3","206"
"15","Перник","76","7","3","0","3","70","78","8","5","0","3","70"
"16","Плевен","193","54","86","1","16","90","197","52","90","2","18","87"
"17","Пловдив","390","110","60","0","3","327","428","108","60","0","19","349"
"18","Разград","92","27","43","0","2","47","99","26","49","0","2","48"
"19","Русе","317","73","89","0","2","226","293","68","89","0","2","202"
"20","Силистра","65","18","31","0","0","34","62","16","30","0","0","32"
"21","Сливен","155","58","109","0","4","42","144","50","97","0","3","44"
"22","Смолян","125","93","0","0","1","124","131","95","0","0","4","127"
"23","Софийска","54","8","10","0","0","44","54","8","10","0","0","44"
"24","Стара Загора","429","106","154","0","6","269","438","106","159","0","6","273"
"25","Търговище","108","34","36","1","0","71","115","34","36","1","0","78"
"26","Хасково","242","68","22","1","0","219","237","62","23","1","0","213"
"27","Шумен","84","41","33","0","4","47","87","39","32","0","3","52"
"28","Ямбол","306","12","17","1","2","286","308","12","18","2","2","286"
"29","ГД ""Национална полиция""","27","0","2","0","0","25","35","0","2","0","0","33"
"30","ГД ""Гранична полиция""","159","10","0","0","0","159","168","10","0","0","0","168"
"31","ГД ""Борба с организираната престъпност""","13","0","0","0","0","13","15","0","0","0","0","15"
"ЗАБЕЛЕЖКА: Данните в таблицата включват всички разкрити през периода престъпления, независимо от годината на регистрацията им.","","","","","","","","","","","","",""
"*В рамките на отчетния период лицата се броят по един път за регион, вид на престъплението и т.н., независимо от броя на извършените от тях престъпления и само един път в сумарния изход.","","","","","","","","","","","","",""
